

SubNetwork,MeContext,ManagedElement,ENodeBFunction,EUtranCellFDD,EUtranFreqRelation
NodeId	ENodeBFunctionId	EUtranCellFDDId	EUtranFreqRelationId	anrMeasOn	cellReselectionPriority	connectedModeMobilityPrio	interFreqMeasType	qOffsetFreq	qRxLevMin	threshXHighQ	threshXLow	threshXLowQ	voicePrio
CSL00002R	1	CSL00002_3B_1	1125	true	3	4	EVENT_A3	0	-122	12	6	12	5
CSL00002R	1	CSL00002_3B_1	5780	true	2	2	EVENT_A3	-6	-122	18	6	12	0
CSL00002R	1	CSL00002_3B_1	775	true	3	4	EVENT_A3	0	-122	12	6	12	5
CSL00002R	1	CSL00002_3B_1	9820	true	5	5	EVENT_A3	0	-122	18	6	14	5
CSL00002R	1	CSL00002_7B_1	1125	true	4	1	EVENT_A3	0	-122	18	6	14	5
CSL00002R	1	CSL00002_7B_1	5780	true	2	5	EVENT_A3	0	-122	18	6	14	5
CSL00002R	1	CSL00002_7B_1	775	true	4	1	EVENT_A3	0	-122	18	6	14	5
CSL00002R	1	CSL00002_7B_1	9820	true	3	1	EVENT_A3	0	-122	18	6	14	5
CSL00002R	1	CSL00002_9B_1	1125	true	3	5	EVENT_A3	0	-122	18	6	22	5
CSL00002R	1	CSL00002_9B_1	5780	true	2	1	EVENT_A3	-4	-122	18	6	12	0
CSL00002R	1	CSL00002_9B_1	775	true	3	1	EVENT_A3	0	-122	18	6	22	5
CSL00002R	1	CSL00002_9B_1	9820	true	3	1	EVENT_A3	0	-122	14	6	14	5
CSL00002R	1	CSL00002_9B_2	1125	true	3	1	EVENT_A3	0	-122	18	6	22	5
CSL00002R	1	CSL00002_9B_2	5780	true	2	1	EVENT_A3	-4	-122	18	6	12	0
CSL00002R	1	CSL00002_9B_2	775	true	3	5	EVENT_A3	0	-122	18	6	22	5
CSL00002R	1	CSL00002_9B_2	9820	true	3	1	EVENT_A3	0	-122	14	6	14	5
CSL00003R	1	CSL00003_3C_1	1125	true	3	4	EVENT_A3	2	-122	12	6	12	5
CSL00003R	1	CSL00003_3C_1	5780	true	2	2	EVENT_A3	-2	-122	18	6	12	0
CSL00003R	1	CSL00003_3C_1	775	true	3	4	EVENT_A3	0	-122	12	6	12	5
CSL00003R	1	CSL00003_3C_1	9820	true	5	5	EVENT_A3	0	-122	18	6	14	5
CSL00003R	1	CSL00003_7C_1	1125	true	4	1	EVENT_A3	0	-122	18	6	14	5
CSL00003R	1	CSL00003_7C_1	5780	true	2	5	EVENT_A3	0	-122	18	6	14	5
CSL00003R	1	CSL00003_7C_1	775	true	4	1	EVENT_A3	0	-122	18	6	14	5
CSL00003R	1	CSL00003_7C_1	9820	true	5	1	EVENT_A3	0	-122	18	6	14	5
CSL00003R	1	CSL00003_9C_1	1125	true	3	5	EVENT_A3	0	-122	18	6	22	5
CSL00003R	1	CSL00003_9C_1	5780	true	2	1	EVENT_A3	-4	-122	18	6	12	0
CSL00003R	1	CSL00003_9C_1	775	true	3	1	EVENT_A3	-2	-122	18	6	22	5
CSL00003R	1	CSL00003_9C_1	9820	true	5	1	EVENT_A3	-2	-122	14	6	14	5
CSL00003R	1	CSL00003_9C_2	1125	true	3	1	EVENT_A3	2	-122	18	6	22	5
CSL00003R	1	CSL00003_9C_2	5780	true	2	1	EVENT_A3	-4	-122	18	6	12	0
CSL00003R	1	CSL00003_9C_2	775	true	3	5	EVENT_A3	0	-122	18	6	22	5
CSL00003R	1	CSL00003_9C_2	9820	true	5	1	EVENT_A3	0	-122	14	6	14	5
CSL00004	1	CSL00004_2R_1_DB	1975	true	3	5	EVENT_A5	0	-122	18	0	14	5
CSL00004	1	CSL00004_2R_1_DB	850	true	3	-1	EVENT_A5	0	-122	18	6	22	5
CSL00004	1	CSL00004_2S_1_DB	1975	true	3	5	EVENT_A5	0	-122	18	0	14	5
