

SubNetwork,MeContext,ManagedElement,ENodeBFunction,EUtranCellFDD
NodeId	ENodeBFunctionId	EUtranCellFDDId	administrativeState	cellBarred	cellId	dlChannelBandwidth	earfcndl	freqBand	primaryPlmnReserved	threshServingLow	timeOfLastModification
CSL00071R	1	CSL00071_3B_1	UNLOCKED	NOT_BARRED	150	10000	9820	30	false	4	
CSL00071R	1	CSL00071_7A_1	UNLOCKED	NOT_BARRED	15	10000	5780	17	false	2	
CSL00071R	1	CSL00071_7A_2_E	UNLOCKED	BARRED	224	10000	9720	29	false	2	
CSL00071R	1	CSL00071_7B_1	UNLOCKED	NOT_BARRED	16	10000	5780	17	false	2	
CSL00071R	1	CSL00071_7B_2_E	UNLOCKED	BARRED	225	10000	9720	29	false	2	
CSL00071R	1	CSL00071_7C_1	UNLOCKED	NOT_BARRED	17	10000	5780	17	false	2	
CSL00071R	1	CSL00071_7C_2_E	UNLOCKED	BARRED	226	10000	9720	29	false	2	
CSL00071R	1	CSL00071_8A_1	LOCKED	BARRED	1	3000	2454	5	true	4	
CSL00071R	1	CSL00071_8B_1	LOCKED	BARRED	2	3000	2454	5	true	4	
CSL00071R	1	CSL00071_8C_1	LOCKED	BARRED	3	3000	2454	5	true	4	
CSL00100	1	CSL00100_3H_1_D	LOCKED	BARRED	155	10000	9820	30	true	4	2017-06-21 05:16:24
CSL00100	1	CSL00100_3J_1_D	LOCKED	BARRED	156	10000	9820	30	true	4	2017-06-21 05:16:24
CSL00100	1	CSL00100_3K_1_D	LOCKED	BARRED	157	10000	9820	30	true	4	2017-06-21 05:16:24
CSL00100	1	CSL00100_7H_1_D	LOCKED	BARRED	100	10000	5780	17	true	2	2017-06-21 05:16:24
CSL00100	1	CSL00100_7J_1_D	LOCKED	BARRED	101	10000	5780	17	true	2	2017-06-21 05:16:24
CSL00100	1	CSL00100_8H_1_D	LOCKED	BARRED	84	5000	2454	5	true	2	2017-06-21 05:16:24
CSL00100	1	CSL00100_8J_1_D	LOCKED	BARRED	85	5000	2454	5	true	2	2017-06-21 05:16:24
CSL00101	1	CSL00101_3H_1_D	LOCKED	BARRED	155	10000	9820	30	true	4	2017-06-21 05:16:24
CSL00101	1	CSL00101_3J_1_D	LOCKED	BARRED	156	10000	9820	30	true	4	2017-06-21 05:16:24
CSL00101	1	CSL00101_3K_1_D	LOCKED	BARRED	157	10000	9820	30	true	4	2017-06-21 05:16:24
CSL00101	1	CSL00101_7H_1_D	LOCKED	BARRED	100	10000	5780	17	true	2	2017-06-21 05:16:24
CSL00101	1	CSL00101_7J_1_D	LOCKED	BARRED	101	10000	5780	17	true	2	2017-06-21 05:16:24
CSL00101	1	CSL00101_8H_1_D	LOCKED	BARRED	84	5000	2454	5	true	2	2017-06-21 05:16:24
CSL00101	1	CSL00101_8J_1_D	LOCKED	BARRED	85	5000	2454	5	true	2	2017-06-21 05:16:24
CSL00102	1	CSL00102_3H_1_D	LOCKED	BARRED	155	10000	9820	30	true	4	
CSL00102	1	CSL00102_3J_1_D	LOCKED	BARRED	156	10000	9820	30	true	4	
CSL00102	1	CSL00102_7H_1_D	LOCKED	BARRED	100	10000	5780	17	true	2	
CSL00102	1	CSL00102_7J_1_D	LOCKED	BARRED	101	10000	5780	17	true	2	
CSL00102	1	CSL00102_8H_1_D	LOCKED	BARRED	84	5000	2454	5	true	2	
CSL00102	1	CSL00102_8J_1_D	LOCKED	BARRED	85	5000	2454	5	true	2	
CSL00103	1	CSL00103_3H_1_D	LOCKED	BARRED	155	10000	9820	30	true	4	
CSL00103	1	CSL00103_3J_1_D	LOCKED	BARRED	156	10000	9820	30	true	4	
CSL00103	1	CSL00103_7H_1_D	LOCKED	BARRED	100	10000	5780	17	true	2	
CSL00103	1	CSL00103_7J_1_D	LOCKED	BARRED	101	10000	5780	17	true	2	
CSL00103	1	CSL00103_8H_1_D	LOCKED	BARRED	84	5000	2454	5	true	2	
CSL00103	1	CSL00103_8J_1_D	LOCKED	BARRED	85	5000	2454	5	true	2	
CSL00104	1	CSL00104_3H_1_D	LOCKED	BARRED	155	10000	9820	30	true	4	2017-06-21 05:16:24
CSL00104	1	CSL00104_3J_1_D	LOCKED	BARRED	156	10000	9820	30	true	4	2017-06-21 05:16:24
CSL00104	1	CSL00104_3K_1_D	LOCKED	BARRED	157	10000	9820	30	true	4	2017-06-21 05:16:24
CSL00104	1	CSL00104_7H_1_D	LOCKED	BARRED	100	10000	5780	17	true	2	2017-06-21 05:16:24
CSL00104	1	CSL00104_7J_1_D	LOCKED	BARRED	101	10000	5780	17	true	2	2017-06-21 05:16:24
CSL00104	1	CSL00104_7K_1_D	LOCKED	BARRED	102	10000	5780	17	true	2	2017-06-21 05:16:24
CSL00104	1	CSL00104_8H_1_D	LOCKED	BARRED	84	3000	2454	5	true	2	2017-06-21 05:16:24
CSL00104	1	CSL00104_8J_1_D	LOCKED	BARRED	85	3000	2454	5	true	2	2017-06-21 05:16:24
CSL00104	1	CSL00104_8K_1_D	LOCKED	BARRED	86	3000	2454	5	true	2	2017-06-21 05:16:24
CSL00105	1	CSL00105_3H_1_D	LOCKED	BARRED	155	10000	9820	30	true	4	
CSL00105	1	CSL00105_3J_1_D	LOCKED	BARRED	156	10000	9820	30	true	4	
CSL00105	1	CSL00105_7H_1_D	LOCKED	BARRED	100	10000	5780	17	true	2	
CSL00105	1	CSL00105_7J_1_D	LOCKED	BARRED	101	10000	5780	17	true	2	
CSL00105	1	CSL00105_8H_1_D	LOCKED	BARRED	84	3000	2454	5	true	2	
CSL00105	1	CSL00105_8J_1_D	LOCKED	BARRED	85	3000	2454	5	true	2	
CSL00108	1	CSL00108_3H_1_D	LOCKED	BARRED	155	10000	9820	30	true	4	
CSL00108	1	CSL00108_3J_1_D	LOCKED	BARRED	156	10000	9820	30	true	4	
CSL00108	1	CSL00108_3K_1_D	LOCKED	BARRED	157	10000	9820	30	true	4	
