         usid   latitude   longitude                 cell  earfcndl
0       44430  33.954750 -117.244389        CSL04664_7C_1      5780
1       13846  33.225765 -117.365862        CAL00439_7A_1      5780
2       13970  32.766425 -117.199762        CAL00360_7A_1      5780
3       50961  34.132944 -118.479778        CLL05403_7B_1      5780
4       50961  34.132944 -118.479778        CLL05403_7B_1      5780
5       80082  33.905076 -118.342557        CLL02619_7C_1      5780
6       11671  33.728179 -118.082008        CLL03299_7C_1      5780
7       25697  33.800600 -118.185200        CLL02704_2B_1      1975
8       12458  33.722206 -117.800233        CLL03664_7B_1      5780
9       25645  33.991861 -118.256000        CLL02472_2C_1      1975
10      25645  33.991861 -118.256000        CLL02472_2C_1      1975
11      47991  33.883700 -118.121726        CLL02652_7B_1      5780
12      26553  34.188111 -118.149306        CLL05026_7C_1      5780
13     101291  33.886861 -117.448861        CSL04522_2B_1      1975
14     101291  33.886861 -117.448861        CSL04522_2B_1      1975
15      25796  33.671000 -117.969611        CLL03439_7A_1      5780
16      13791  34.429444 -119.689444        CSL01442_7A_1      5780
17      11746  34.068260 -118.259400        CLL05648_7A_1      5780
18      43517  32.900561 -117.208345        CAL00488_7A_1      5780
19      98288  33.173338 -117.209234        CAL01327_7A_1      5780
20      26334  33.582778 -117.633167        CLL03807_7C_1      5780
21      12147  34.153000 -118.150028        CLL05811_7A_1      5780
22       9541  35.113000 -118.915194        CSL01124_7B_1      5780
23      12046  33.971139 -118.358361        CLL02440_7A_1      5780
24      12046  33.971139 -118.358361        CLL02440_7A_1      5780
25      12139  34.073444 -117.939972        CLL04242_7C_1      5780
26     104820  33.852084 -118.195461        CLL02679_7A_1      5780
27      25807  33.508472 -117.708389        CLL03876_7B_1      5780
28      12458  33.722206 -117.800233        CLL03664_2B_1      1975
29      12149  34.108389 -118.058000        CLL04213_7C_1      5780
30      15988  34.392194 -119.507667        CSL01460_7B_1      5780
31      48403  34.292556 -118.573528        CLL01892_7C_1      5780
32      48148  34.412833 -119.862389        CSL01408_7B_1      5780
33      47993  33.779167 -118.096259        CLL03281_7C_1      5780
34      24355  34.103750 -117.803389        CLL04293_7A_1      5780
35      12378  34.073417 -117.780167        CLL04317_7A_1      5780
36      12114  34.144528 -118.072639        CLL05820_7B_1      5780
37      12621  32.845755 -117.236911        CAL00023_7B_1      5780
38      11872  34.256750 -118.605500        CLL01729_2B_1      1975
39      25725  33.861111 -117.942222        CLL03215_2A_1      1975
40      48082  34.093056 -118.280556        CLL05082_2A_1      1975
41      12145  33.879528 -118.069694        CLL03203_7C_1      5780
42       9516  35.416500 -118.926972        CSL01089_7C_1      5780
43      26531  34.006472 -117.680694        CSL04336_7C_1      5780
44      87358  32.887040 -117.170030        CAL01633_7A_1      5780
45      12027  33.923167 -118.226139        CLL02639_7C_1      5780
46      12027  33.923167 -118.226139        CLL02639_7C_1      5780
47      12148  34.112000 -118.125861        CLL05842_7A_1      5780
48      11712  33.776155 -118.006358        CLL03310_7A_1      5780
49      14000  32.869775 -117.227531        CAL00447_7A_1      5780
50     102197  33.656250 -117.732111        CLL03766_7A_1      5780
51      50849  34.294917 -118.875472        CSL01626_7C_1      5780
52      12356  34.091417 -117.486539        CSL04478_7C_1      5780
53      25796  33.671000 -117.969611        CLL03439_2B_1      1975
54      50929  34.002739 -117.419444        CSL04490_7A_1      5780
55      26387  34.430111 -119.824000        CSL01417_7B_1      5780
56      50836  34.028250 -117.990444        CLL04251_7B_1      5780
57      26948  33.805731 -118.010158        CLL03262_7A_1      5780
58      87773  34.137222 -118.010111        CLL04209_7B_1      5780
59      51046  33.990972 -117.358167        CSL04495_7B_1      5780
60      50904  33.979389 -118.414083        CLL02294_7C_1      5780
61     103938  32.923380 -117.231851        CAL01613_7B_1      5780
62      25766  33.710944 -117.760083        CLL03659_7C_1      5780
63      48938  34.116667 -118.464167        CLL05410_7B_1      5780
64      48938  34.116667 -118.464167        CLL05410_7B_1      5780
65     100066  33.303838 -117.462706        CAL00703_7B_1      5780
66      24405  33.812726 -118.367672        CLL02852_7B_1      5780
